index,product_brand,product_title,current_price,min_quantity,regular_price,sale_price,was_price,non_members_price,product_image
0,General Mills,"Honey Nut Cheerios Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104047_EA/en/1/21104047_en_front_v2_400.png
1,Post,Shreddies Original Cereals,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427214_EA/en/1/62815438021_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
2,Kelloggs,Rice Krispies Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450814_EA/en/1/6410014450_en_front_centre_marketing_1_GS1_Ecommerce_400.png
3,General Mills,Cheerios Whole Grain Breakfast Cereal Limited Edition,3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104173_EA/en/1/21104173_en_front_v2_400.png
4,Kelloggs,Rice Krispies Original,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21449784_EA/en/1/21449784_en_front_v1_400.png
5,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Whole Grains and Real Cinnamon",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104055_EA/en/1/21104055_en_front_v1_400.png
6,Kelloggs,Oven-Toasted Rice Grain Cereal Holiday Edition,4.5,1,4.5,,,,https://digital.loblaws.ca/PCX/21307252_EA/en/1/6410013593_enfr_front_centre_marketing_A_GS1_Marketing_v1_400.png
7,General Mills,"Honey Nut Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103495_EA/en/1/21103495_en_front_v2_400.png
8,Post,Honeycomb Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20299648_EA/en/1/20299648_en_front_400.png
9,Quaker,Maple & Brown Sugar Flavour Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190254_EA/en/1/21190254_en_front_400.png
10,Kelloggs,Corn Flakes Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21450811_EA/en/1/6410014311_en_front_centre_marketing_GS1_Ecommerce_400.png
11,General Mills,"Multi Grain Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104058_EA/en/1/21104058_en_front_v2_400.png
12,Post,Honey Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427201_EA/en/1/62815438033_enfr_front_centre_marketing_GS1_Ecommerce_400.png
13,Kelloggs,Corn Flakes Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450851_EA/en/1/6410014452_en_front_centre_marketing_1_GS1_Ecommerce_v1_400.png
14,Quaker,Quick Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113001_EA/en/1/20323113001_en_front_v1_400.png
15,Kelloggs,Froot Loops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652128_EA/en/1/5972410186_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
16,Kelloggs,Frosted Flakes Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652110_EA/en/1/5972410148_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
17,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104054_EA/en/1/21104054_en_front_400.png
18,General Mills,"Original Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103499_EA/en/1/21103499_en_front_v2_400.png
19,General Mills,"Multi Grain Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103503_EA/en/1/21103503_en_front_v2_400.png
20,Kelloggs,Mini Wheats Mini Wheat Frosted Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21430748_EA/en/1/21430748_en_front_400.png
21,President's Choice,Extra-Fluffy Buttermilk Pancake & Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20175129_EA/en/1/6038305897_enfr_front_centre_marketing_GS1_Ecommerce_400.png
22,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103492_EA/en/1/21103492_en_front_400.png
23,Quaker,Instant Oatmeal 3 Flavour Variety Pack,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190260_EA/en/1/21190260_en_front_400.png
24,Quaker,Harvest Crunch Original Granola Cereal,5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21219824_EA/en/1/21219824_en_front_400.png
25,Post,Spoon Size Shredded Wheat & Bran Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20751584_EA/en/1/20751584_en_front_v1_400.png
26,Kelloggs,Raisin Bran Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21652002_EA/en/1/5972410166_en_front_centre_marketing_1_GS1_Ecommerce_400.png
27,Quaker,"Oats, Large Flake",5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113002_EA/en/1/20323113002_en_front_400.png
28,Post,Shredded Wheat Big Biscuit Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20014409_EA/en/1/20014409_en_front_400.png
29,Kelloggs,Vector Meal Replacement Cereal,13.99,1,13.99,,,,https://digital.loblaws.ca/PCX/20072706_EA/en/1/20072706_en_front_400.png
30,Post,Shreddies Cereal Original Family Size,7.29,1,7.29,,,,https://digital.loblaws.ca/PCX/21575229_EA/en/1/21575229_en_front_400.png
31,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103505_EA/en/1/21103505_en_front_v2_400.png
32,Post,With Almonds Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427197_EA/en/1/21427197_en_front_400.png
33,Kelloggs,Poptarts Pop Tarts Frosted Strawberry,3.0,3,,3.0,,3.75,https://digital.loblaws.ca/PCX/21290111_EA/en/1/6410013092_enfr_front_centre_marketing_GS1_Ecommerce_400.png
34,Kelloggs,Froot Loops Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651640_EA/en/1/5972410164_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
35,Kelloggs,Vector Meal Replacement Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21504064_EA/en/1/6410014665_en_front_centre_marketing_GS1_Ecommerce_400.png
36,Kelloggs,Frosted Flakes Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651947_EA/en/1/5972410172_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
37,Post,Honey Bunches Of Oat Honey Roasted Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427173_EA/en/1/62815438071_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
38,Weetabix,Whole Grain Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20184626_EA/en/1/20184626_en_front_400.png
39,Quaker,Regular Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190265_EA/en/1/21190265_en_front_400.png
40,President's Choice,Original Extra-Fluffy Pancake And Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20318589_EA/en/1/6038305898_enfr_front_centre_marketing_GS1_Ecommerce_400.png
41,Post,Sugar Crisp Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20071915001_EA/en/1/62815413800_enfr_front_centre_marketing_GS1_Ecommerce_400.png
42,Kelloggs,Krave Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21653742_EA/en/1/5972410156_en_front_centre_marketing_A_1_GS1_Ecommerce_v2_400.png
43,General Mills,"Reese's Puffs Breakfast Cereal, Peanut Butter Chocolate, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104053_EA/en/1/21104053_en_front_v2_400.png
44,General Mills,"Rice Chex, Gluten Free",5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21535225_EA/en/1/6563319797_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
45,Quaker,One Minute Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113003_EA/en/1/20323113003_en_front_v1_400.png
46,Kelloggs,All Bran All-Bran Buds Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/20016844_EA/en/1/20016844_en_front_400.png
47,Kelloggs,Corn Pops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652133_EA/en/1/5972410190_en_front_centre_marketing_1_GS1_Ecommerce_400.png
48,General Mills,"Honey Nut Cheerios Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104047_EA/en/1/21104047_en_front_v2_400.png
49,Post,Shreddies Original Cereals,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427214_EA/en/1/62815438021_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
50,Kelloggs,Rice Krispies Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450814_EA/en/1/6410014450_en_front_centre_marketing_1_GS1_Ecommerce_400.png
51,General Mills,Cheerios Whole Grain Breakfast Cereal Limited Edition,3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104173_EA/en/1/21104173_en_front_v2_400.png
52,Kelloggs,Rice Krispies Original,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21449784_EA/en/1/21449784_en_front_v1_400.png
53,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Whole Grains and Real Cinnamon",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104055_EA/en/1/21104055_en_front_v1_400.png
54,Kelloggs,Oven-Toasted Rice Grain Cereal Holiday Edition,4.5,1,4.5,,,,https://digital.loblaws.ca/PCX/21307252_EA/en/1/6410013593_enfr_front_centre_marketing_A_GS1_Marketing_v1_400.png
55,General Mills,"Honey Nut Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103495_EA/en/1/21103495_en_front_v2_400.png
56,Post,Honeycomb Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20299648_EA/en/1/20299648_en_front_400.png
57,Quaker,Maple & Brown Sugar Flavour Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190254_EA/en/1/21190254_en_front_400.png
58,Kelloggs,Corn Flakes Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21450811_EA/en/1/6410014311_en_front_centre_marketing_GS1_Ecommerce_400.png
59,General Mills,"Multi Grain Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104058_EA/en/1/21104058_en_front_v2_400.png
60,Post,Honey Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427201_EA/en/1/62815438033_enfr_front_centre_marketing_GS1_Ecommerce_400.png
61,Kelloggs,Corn Flakes Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450851_EA/en/1/6410014452_en_front_centre_marketing_1_GS1_Ecommerce_v1_400.png
62,Quaker,Quick Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113001_EA/en/1/20323113001_en_front_v1_400.png
63,Kelloggs,Froot Loops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652128_EA/en/1/5972410186_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
64,Kelloggs,Frosted Flakes Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652110_EA/en/1/5972410148_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
65,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104054_EA/en/1/21104054_en_front_400.png
66,General Mills,"Original Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103499_EA/en/1/21103499_en_front_v2_400.png
67,General Mills,"Multi Grain Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103503_EA/en/1/21103503_en_front_v2_400.png
68,Kelloggs,Mini Wheats Mini Wheat Frosted Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21430748_EA/en/1/21430748_en_front_400.png
69,President's Choice,Extra-Fluffy Buttermilk Pancake & Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20175129_EA/en/1/6038305897_enfr_front_centre_marketing_GS1_Ecommerce_400.png
70,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103492_EA/en/1/21103492_en_front_400.png
71,Quaker,Instant Oatmeal 3 Flavour Variety Pack,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190260_EA/en/1/21190260_en_front_400.png
72,Quaker,Harvest Crunch Original Granola Cereal,5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21219824_EA/en/1/21219824_en_front_400.png
73,Post,Spoon Size Shredded Wheat & Bran Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20751584_EA/en/1/20751584_en_front_v1_400.png
74,Kelloggs,Raisin Bran Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21652002_EA/en/1/5972410166_en_front_centre_marketing_1_GS1_Ecommerce_400.png
75,Quaker,"Oats, Large Flake",5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113002_EA/en/1/20323113002_en_front_400.png
76,Post,Shredded Wheat Big Biscuit Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20014409_EA/en/1/20014409_en_front_400.png
77,Kelloggs,Vector Meal Replacement Cereal,13.99,1,13.99,,,,https://digital.loblaws.ca/PCX/20072706_EA/en/1/20072706_en_front_400.png
78,Post,Shreddies Cereal Original Family Size,7.29,1,7.29,,,,https://digital.loblaws.ca/PCX/21575229_EA/en/1/21575229_en_front_400.png
